Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
489,0,0,0.8414485,0,1.433398,0,80.61342,6.337994,0.0737,47.8256,55.80929752,0,52.18107,0,100,0
490,0,0,0.835189,0,1.484591,0,83.64404,7.697946,0.1020408,46.25397,58.25138055,0,54.2584699,0,99.9222561,0
491,0,0,0.8404224,0,1.525545,0,87.12877,9.391582,0.0551948,44.79634,60.61866103,0,56.192521,0,99.5823845,0
492,0,0,0.8435009,0,1.586977,0,89.86324,11.31525,0.1108534,43.26833,62.74173322,0,57.9575427,0,99.2672808,0
493,0,0,0.8578671,0,1.648408,0,92.58936,13.41405,0.0969,41.86204,64.76140189,0,59.5025944,0,98.9655932,0
494,0,0,0.850684,0,1.709839,0,95.01856,15.9199,0.0737,40.64304,66.34545575,0,60.7836822,0,98.5940736,0
495,0,0,0.8618691,0,1.781509,0,97.03165,19.0153,0.0551948,39.53817,67.71060216,0,61.8774273,0,98.4636977,0
496,0,0,0.8587905,0,1.84294,0,98.47367,22.55203,0.0551948,38.20118,68.5323301,0,62.5164977,0,98.3501778,0
497,0,0,0.8804425,0,1.91461,0,99.68942,26.3913,-0.0227,36.9749,68.97454513,0,62.8996032,0,98.1368981,0
498,0,0,0.8978872,0,1.996519,0,100,30.43206,0.0649,35.75102,68.94594416,0,62.9330723,0,97.9122663,0
499,0,0,0.9245672,0,2.078428,0,99.89369,34.79373,-0.0551948,34.53493,68.42782655,0,62.5106038,0,97.5668907,0
500,1.00239562,0,0.9234385,0,2.160336,0,98.89133,39.86677,-0.00417,33.29013,67.48289442,0,61.9361561,0,97.4753868,0
501,0.897722688,0,0.9624324,0,2.262721,0,97.30502,45.06802,-0.00881,32.08385,66.16383957,0,61.1360551,0,97.286531,0
502,0.917304148,0,0.9870602,0,2.365107,0,94.88188,50.09026,0.0835,30.90874,64.45119134,0,60.1020913,0,97.2593551,0
503,0.958262615,0,1.011688,0,2.447016,0,92.24765,55.08746,-0.0325,29.68185,62.65153015,0,58.7940598,0,97.2411231,0
504,0.975785053,0,1.049758,0,2.55964,0,88.66344,60.14661,0.1298701,28.58351,60.54165842,0,57.4944481,0,96.9521634,0
505,1.031801248,0,1.092754,0,2.651787,0,84.88181,65.46947,0.0969,27.25907,58.70349592,0,56.1224253,0,96.7467956,0
506,1.077772567,0,1.122615,0,2.743934,0,80.49951,70.73576,0.1298701,26.27039,56.73002882,0,54.7632429,0,96.8682275,0
507,1.081009723,0,1.154426,0,2.887274,0,75.85296,75.33575,0.0227,25.24582,55.11297384,0,53.487628,0,96.9146674,0
508,1.108146931,0,1.193318,0,2.999898,0,70.86317,79.72852,0.0969,24.25435,53.706026,0,52.3564144,0,96.9893154,0
509,1.178260001,0,1.22205,0,3.102283,0,65.82934,83.72952,0.0366,23.35708,52.66429059,0,51.4039131,0,97.1021472,0
510,1.21865101,0,1.290802,0,3.255862,0,60.68085,87.4406,0.0274,22.48179,51.9910677,0,50.6953785,0,97.2755231,0
511,1.238616826,0,1.301064,0,3.388963,0,55.57792,90.93436,0.0417,21.62568,51.66325655,0,50.2070243,0,97.282747,0
512,1.332366276,0,1.369817,0,3.522064,0,50.81594,93.58064,0.0551948,20.81867,51.7204585,0,50.0546241,0,97.3804429,0
513,1.387529196,0,1.40368,0,3.69612,0,46.03194,95.84365,0.0366,20.08289,52.1351726,0,50.0148401,0,97.335035,0
514,1.437976145,0,1.466378,0,3.859937,0,41.36185,97.5192,0.1159555,19.18099,52.80509537,0,50.1853431,0,97.308547,0
515,1.454298871,0,1.49706,0,4.003276,0,37.13978,98.93476,0.1108534,18.46791,53.82152993,0,50.6482271,0,97.2297711,0
516,1.56003583,0,1.582334,0,4.197809,0,33.03161,99.76164,0.1298701,17.75225,54.95676853,0,51.4030712,0,97.347075,0
517,1.571331206,0,1.637746,0,4.371864,0,29.31908,100,0.0923,17.014,56.3736167,0,52.2587435,0,97.5434987,0
518,1.624111909,0,1.679819,0,4.535682,0,25.77209,99.57642,0.1669759,16.46043,57.83776648,0,53.2861819,0,97.3573949,0
519,1.722903136,0,1.751547,0,4.750691,0,22.5911,99.10033,0.0459,15.81343,59.44602116,0,54.4274994,0,97.1902111,0
520,1.779564571,0,1.824507,0,4.934985,0,19.6144,98.40125,0.1298701,15.14406,61.08617693,0,55.7090082,0,97.0309393,0.0268557
521,1.813650579,0,1.895312,0,5.109041,0,17.18443,97.18201,-0.051,14.56686,62.69663169,0,57.0418785,0,96.9401234,0.0268557
522,1.874216143,0,1.959857,0,5.334289,0,14.65574,95.39993,0.00417,14.05811,64.36318835,0,58.3846421,0.6529897,96.8785475,0.0265606
523,1.89997839,0,2.051287,0,5.518583,0,12.77252,93.58913,0.0366,13.54392,65.85043891,0,59.7219328,0.651367,96.9170754,0.0265975
